BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
CPD0-2582	.alpha.-Hydroxyisobutyric acid_HILNeg	28.48755889	28.90247193	28.85581707	28.79405095	28.57238113	28.37958796	28.05730905	28.79807868	22.0412693	21.88445236	25.75638109	26.23260478	21.72477755	28.8342265	28.93064047	27.7870346	28.91954429	28.93106549	28.91079231	28.65238127	28.76334017	28.64245057	27.99489477	28.46500176	28.60355207	28.53939092	28.66445294	26.48490982	28.7072191
 CPD-3621	.alpha.-Hydroxyisobutyric acid_HILNeg	28.48755889	28.90247193	28.85581707	28.79405095	28.57238113	28.37958796	28.05730905	28.79807868	22.0412693	21.88445236	25.75638109	26.23260478	21.72477755	28.8342265	28.93064047	27.7870346	28.91954429	28.93106549	28.91079231	28.65238127	28.76334017	28.64245057	27.99489477	28.46500176	28.60355207	28.53939092	28.66445294	26.48490982	28.7072191
 CPD-6485	.alpha.-Hydroxyisobutyric acid_HILNeg	28.48755889	28.90247193	28.85581707	28.79405095	28.57238113	28.37958796	28.05730905	28.79807868	22.0412693	21.88445236	25.75638109	26.23260478	21.72477755	28.8342265	28.93064047	27.7870346	28.91954429	28.93106549	28.91079231	28.65238127	28.76334017	28.64245057	27.99489477	28.46500176	28.60355207	28.53939092	28.66445294	26.48490982	28.7072191
D-PROLINE	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
 CPD-19411	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
 CPD-10687	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
 CPD-13585	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
 CPD-8148	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
 PRO	1-Amino-1-cyclobutanecarboxylic acid_HILNeg	24.56129279	23.9929982	24.21062824	24.19038849	24.37212472	23.21123032	24.12293217	24.42547084	25.32436742	25.56029674	25.03696399	23.99972844	25.35504004	24.73973314	24.58998741	24.70590274	24.39004066	24.05364706	24.03883917	24.53360598	24.29856344	24.14830027	24.44496312	24.21977183	24.39069638	24.15337896	24.48287901	24.21477023	24.48693846
CPD-19213	2-Hydroxy-5-methoxybenzoic acid_HILNeg	22.43519611	22.16631028	22.89727523	22.84825368	22.08763856	22.10979012	22.10114899	22.25638447	21.65757842	21.84222109	21.93297341	22.18549012	22.3326961	23.24630327	23.09436587	21.88414542	22.39151092	23.00620146	22.44869546	22.23030816	22.61855249	23.01329596	23.02659064	22.30640775	22.88314476	22.34013633	22.96686978	22.49390778	23.02425844
